"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"12/15/2021","AQS","450190020","3","8.7","ug/m3 LC","36","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/16/2021","AQS","450190020","3","10","ug/m3 LC","42","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/17/2021","AQS","450190020","3","8.4","ug/m3 LC","35","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/18/2021","AQS","450190020","3","4","ug/m3 LC","17","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/19/2021","AQS","450190020","3","3.8","ug/m3 LC","16","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/20/2021","AQS","450190020","3","4.8","ug/m3 LC","20","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/21/2021","AQS","450190020","3","4.8","ug/m3 LC","20","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/22/2021","AQS","450190020","3","8.7","ug/m3 LC","36","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/23/2021","AQS","450190020","3","8.9","ug/m3 LC","37","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/24/2021","AQS","450190020","3","15.1","ug/m3 LC","57","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/25/2021","AQS","450190020","3","5","ug/m3 LC","21","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/26/2021","AQS","450190020","3","10.7","ug/m3 LC","45","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/27/2021","AQS","450190020","3","8.8","ug/m3 LC","37","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/28/2021","AQS","450190020","3","7.3","ug/m3 LC","30","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/29/2021","AQS","450190020","3","8.1","ug/m3 LC","34","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/30/2021","AQS","450190020","3","8","ug/m3 LC","33","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"12/31/2021","AQS","450190020","3","8.5","ug/m3 LC","35","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.84","-79.96"
"01/01/2021","AQS","450190021","3","10.5","ug/m3 LC","44","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/02/2021","AQS","450190021","3","9.2","ug/m3 LC","38","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/03/2021","AQS","450190021","3","6.7","ug/m3 LC","28","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/04/2021","AQS","450190021","3","7.6","ug/m3 LC","32","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/05/2021","AQS","450190021","3","10.9","ug/m3 LC","45","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/06/2021","AQS","450190021","3","8.4","ug/m3 LC","35","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/07/2021","AQS","450190021","3","6","ug/m3 LC","25","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/08/2021","AQS","450190021","3","7.9","ug/m3 LC","33","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/09/2021","AQS","450190021","3","8","ug/m3 LC","33","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/10/2021","AQS","450190021","3","9.7","ug/m3 LC","40","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/11/2021","AQS","450190021","3","6","ug/m3 LC","25","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/12/2021","AQS","450190021","3","9.1","ug/m3 LC","38","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/13/2021","AQS","450190021","3","10.7","ug/m3 LC","45","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/14/2021","AQS","450190021","3","11.2","ug/m3 LC","47","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/15/2021","AQS","450190021","3","9.3","ug/m3 LC","39","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/16/2021","AQS","450190021","3","5.6","ug/m3 LC","23","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/17/2021","AQS","450190021","3","6.3","ug/m3 LC","26","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/18/2021","AQS","450190021","3","8.2","ug/m3 LC","34","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/19/2021","AQS","450190021","3","11.3","ug/m3 LC","47","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/20/2021","AQS","450190021","3","11.6","ug/m3 LC","48","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/21/2021","AQS","450190021","3","18.9","ug/m3 LC","65","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/22/2021","AQS","450190021","3","9.1","ug/m3 LC","38","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/23/2021","AQS","450190021","3","7.4","ug/m3 LC","31","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/24/2021","AQS","450190021","3","5.2","ug/m3 LC","22","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/25/2021","AQS","450190021","3","6.7","ug/m3 LC","28","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/26/2021","AQS","450190021","3","12.2","ug/m3 LC","51","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
"01/27/2021","AQS","450190021","3","8.8","ug/m3 LC","37","SPA - Irving St.","1","100.0000","88101","PM2.5 - Local Conditions","16700","Charleston-North Charleston, SC","45","South Carolina","019","Charleston","32.836602","-79.956983"
